NUM,W1,W2,W3,W4,W5,W6,L1,L2,L3,L4,L5,L6,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P
13,6807.6071029939,303.24014556254,6814.82519821015,302.870966864276,6805.45248772354,296.996730899044,1.62481803256337,6.82959048252463,9.93560180987678,11.4308697342425,8.88170088030947,3.44718161740123,0.978,-0.202,0.521,-0.847,-0.274,-0.953,-0.909,-0.392,-0.771,0.535,0.102,0.67,0.317,0.188,0.199,-0.012,0.105,-0.055,0.053,-0.056,0.027,-0.049,0.012,-0.042,0.003,-0.037,-0.003,-0.035,-0.008,-0.035,-0.012,-0.037
14,6808.6938452988,295.065554668605,6810.59624611917,309.674131783915,6817.76453124839,297.440233049371,4.46932365849614,9.54638619772608,12.483998147494,13.5177534912924,4.62454881576863,2.54734772677335,0.973,-0.224,0.42,-0.899,-0.465,-0.859,-0.939,-0.076,-0.411,0.695,0.273,0.436,0.272,0.052,0.143,-0.059,0.065,-0.069,0.027,-0.06,0.008,-0.049,-0.002,-0.043,-0.01,-0.04,-0.018,-0.043,-0.034,-0.054,-0.066,-0.078
15,6806.21421979388,293.053620256374,6808.46755442284,299.685602741879,6803.09239412999,308.006759215932,2.73154264382317,6.68163148428996,11.7075103394594,9.38499479618261,4.42015485651868,3.57676534754195,0.981,-0.187,0.584,-0.803,-0.135,-0.968,-0.755,-0.568,-0.877,0.152,-0.401,0.685,0.234,0.578,0.383,0.135,0.226,-0.075,0.1,-0.102,0.039,-0.084,0.011,-0.064,-0.002,-0.05,-0.009,-0.041,-0.014,-0.037,-0.018,-0.036
16,6818.55602452224,294.281532374054,6816.08766923923,308.799285890458,6812.10495362731,303.552565298624,3.46667455002619,5.57375268671904,7.56311976732828,13.0105013165623,6.80961987359186,3.02150589231927,0.98,-0.19,0.571,-0.814,-0.168,-0.972,-0.8,-0.532,-0.87,0.234,-0.322,0.732,0.326,0.535,0.383,0.048,0.182,-0.107,0.068,-0.101,0.021,-0.074,0.002,-0.054,-0.007,-0.041,-0.011,-0.033,-0.015,-0.029,-0.017,-0.028
17,6806.7686483615,297.763490733582,6811.03853983496,303.880980905476,6816.28565641671,298.14494553099,2.30424747870724,8.04870542539851,11.9624999142109,9.68452972257961,5.57987973710325,2.59934756767084,0.979,-0.195,0.553,-0.826,-0.206,-0.964,-0.837,-0.48,-0.834,0.345,-0.138,0.716,0.309,0.35,0.266,0.042,0.151,-0.054,0.078,-0.068,0.038,-0.061,0.018,-0.053,0.006,-0.046,-0.002,-0.043,-0.009,-0.043,-0.015,-0.046
18,6801.35658968395,290.426645434137,6809.01397567505,293.455799082196,6815.35619961572,293.491896384714,1.82782043325099,5.85644884179164,14.5148772409144,10.6639764392591,7.91198968544509,4.97891773423739,0.973,-0.221,0.434,-0.887,-0.419,-0.866,-0.917,-0.166,-0.54,0.667,0.267,0.521,0.299,0.069,0.156,-0.058,0.073,-0.071,0.032,-0.062,0.012,-0.052,0.000474,-0.046,-0.008,-0.045,-0.018,-0.049,-0.043,-0.068,-0.128,-0.11
19,6807.53996917973,303.796005036491,6806.68959247579,301.06240317342,6802.4218460422,310.491575356874,4.55467291501285,4.92028861940579,13.6905762322226,13.3283530333233,5.62981660200498,3.77501281027173,0.973,-0.22,0.431,-0.884,-0.405,-0.842,-0.843,-0.194,-0.605,0.511,0.095,0.662,0.416,0.177,0.231,-0.101,0.08,-0.116,0.019,-0.086,-0.004,-0.062,-0.014,-0.048,-0.021,-0.042,-0.03,-0.041,-0.051,-0.05,-0.105,-0.075
20,6814.91400724534,298.549895356393,6801.19728327185,306.3515167636,6805.72592375981,304.112944382527,3.43506875640208,8.45473946576298,12.3024152369471,12.7150332105067,7.05775213787507,4.72802960597425,0.971,-0.231,0.388,-0.914,-0.519,-0.833,-0.961,0.001,-0.356,0.807,0.443,0.384,0.268,-0.069,0.088,-0.101,0.023,-0.071,0.001,-0.048,-0.007,-0.034,-0.011,-0.027,-0.014,-0.023,-0.018,-0.022,-0.027,-0.025,-0.042,-0.032
21,6817.33650897647,292.37745852085,6808.77685383925,298.026163234459,6811.04010885507,297.912096584494,2.37115440317262,7.74205899764704,6.87441584266678,13.125486308585,9.18764824306502,3.75487091626532,0.977,-0.206,0.503,-0.857,-0.309,-0.935,-0.899,-0.344,-0.759,0.511,0.092,0.759,0.415,0.17,0.213,-0.075,0.084,-0.089,0.03,-0.068,0.008,-0.05,-0.002,-0.039,-0.007,-0.031,-0.011,-0.027,-0.015,-0.026,-0.019,-0.027
22,6803.91529729757,305.924954441565,6802.542597461,303.599713829726,6806.49429364525,310.064201976975,1.2864648930412,8.42410094655065,13.7501899517213,10.4214232360174,5.96228768407907,1.3402695909128,0.978,-0.199,0.532,-0.837,-0.251,-0.948,-0.866,-0.388,-0.678,0.437,-0.036,0.528,0.181,0.254,0.173,0.087,0.131,0.012,0.096,-0.02,0.072,-0.036,0.056,-0.046,0.045,-0.056,0.039,-0.072,0.032,-0.109,0.014,-0.189
23,6816.74263853995,304.069018096338,6803.97065897889,297.994303346814,6807.67980772269,301.27798515086,4.16499857690036,6.74423782274468,6.0771162837972,13.6888632549968,5.27571189682488,2.13977491488078,0.981,-0.183,0.598,-0.792,-0.1,-0.969,-0.711,-0.609,-0.89,0.049,-0.559,0.658,0.215,0.747,0.471,0.134,0.235,-0.102,0.095,-0.108,0.036,-0.083,0.011,-0.062,-0.001,-0.048,-0.008,-0.04,-0.012,-0.035,-0.016,-0.033
24,6808.78417021545,305.166303174276,6803.64631277898,306.259761806162,6811.72550395983,306.289556050338,4.57535699816189,6.08965361173311,7.13966918746377,11.2706086155453,9.13815696648577,2.98607389107209,0.978,-0.199,0.537,-0.837,-0.245,-0.962,-0.866,-0.424,-0.798,0.367,-0.191,0.764,0.483,0.453,0.346,-0.11,0.099,-0.139,0.021,-0.089,-0.002,-0.056,-0.01,-0.038,-0.012,-0.027,-0.013,-0.021,-0.014,-0.017,-0.016,-0.016
25,6804.47707957597,301.12296792965,6816.55684036738,293.375062059407,6808.20227192704,310.781152763831,2.98683706682628,5.4111674062203,7.50209194652546,13.1637182387359,8.12554570911365,3.45153335049683,0.979,-0.196,0.547,-0.831,-0.223,-0.963,-0.849,-0.452,-0.803,0.353,-0.165,0.703,0.33,0.403,0.319,0.023,0.157,-0.094,0.061,-0.091,0.019,-0.069,0.001,-0.052,-0.007,-0.04,-0.012,-0.034,-0.016,-0.03,-0.02,-0.03
26,6808.22180339128,290.168538345483,6813.847467691,295.576484955741,6812.92398162537,299.543283345075,3.07403484686864,8.56126743153495,11.2227414598916,12.7737241986875,4.45998254284373,4.48748203651561,0.975,-0.213,0.471,-0.873,-0.368,-0.904,-0.906,-0.245,-0.641,0.561,0.129,0.662,0.394,0.157,0.211,-0.087,0.077,-0.1,0.021,-0.074,0.0004089,-0.052,-0.008,-0.039,-0.013,-0.031,-0.016,-0.028,-0.022,-0.027,-0.028,-0.03
27,6812.34414546325,291.048947195055,6809.39972899969,303.081558617625,6806.19752357995,291.719620004691,3.74750471730434,9.88161942369801,8.41442537672071,10.7090325020099,9.71526041494246,1.17717183728845,0.976,-0.21,0.485,-0.866,-0.34,-0.916,-0.901,-0.306,-0.76,0.579,0.28,0.719,0.347,0.057,0.152,-0.064,0.066,-0.063,0.03,-0.05,0.013,-0.04,0.005,-0.033,-0.001,-0.029,-0.005,-0.027,-0.009,-0.027,-0.012,-0.028
28,6814.79479668082,290.319109271326,6808.31889140767,296.595709072426,6816.72738015477,291.825693954821,1.73510520774035,6.65595763573904,10.824303123164,13.5583133588977,9.75168496631333,3.15353426173747,0.974,-0.22,0.442,-0.89,-0.437,-0.89,-0.963,-0.101,-0.399,0.683,0.228,0.407,0.236,0.081,0.141,-0.026,0.077,-0.05,0.041,-0.05,0.022,-0.046,0.01,-0.043,0.002,-0.043,-0.006,-0.046,-0.017,-0.057,-0.035,-0.076
