NUM,W1,W2,W3,W4,W5,W6,L1,L2,L3,L4,L5,L6,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P
1533,6802.36603354391,298.134519630373,6801.4296644397,294.294361565594,6814.30728771732,304.484044397575,3.81020233679977,7.51438102374899,7.25808028972962,10.7516248976162,6.43830491689234,2.01199117620267,0.981,-0.184,0.601,-0.794,-0.101,-0.986,-0.752,-0.627,-0.953,0.111,-0.48,0.799,0.39,0.621,0.389,0.03,0.173,-0.096,0.07,-0.087,0.027,-0.065,0.008,-0.048,-0.0003604,-0.037,-0.005,-0.029,-0.008,-0.025,-0.009,-0.022
1534,6802.83116696154,290.503323593653,6811.67161642415,308.0344484847,6813.00003525978,300.213681292464,4.0870049816072,9.83638346870766,6.82603047588328,14.3636614402276,7.93133455094473,4.54647672899388,0.972,-0.224,0.422,-0.895,-0.449,-0.869,-0.949,-0.136,-0.599,0.732,0.49,0.681,0.371,-0.122,0.088,-0.137,0.014,-0.081,-0.006,-0.048,-0.011,-0.032,-0.012,-0.023,-0.014,-0.018,-0.015,-0.016,-0.019,-0.015,-0.025,-0.017
1535,6801.36391564542,305.75328834319,6805.09839610457,304.814550394184,6807.50790255879,298.764424665197,2.90389106410634,7.87642295707109,13.0458079223066,12.3096694647054,5.32841711547384,3.42307119517655,0.975,-0.214,0.465,-0.877,-0.382,-0.897,-0.903,-0.215,-0.59,0.569,0.138,0.59,0.33,0.155,0.2,-0.047,0.093,-0.081,0.039,-0.071,0.013,-0.058,-0.0002493,-0.048,-0.008,-0.043,-0.016,-0.043,-0.029,-0.051,-0.051,-0.069
1536,6808.95008540455,299.846803494496,6811.51482371542,297.314168125636,6818.45935246774,302.456119796398,3.39870802519067,8.5038396278063,12.8129192489771,12.0509909018476,4.69750437228598,3.73886413886079,0.974,-0.216,0.456,-0.881,-0.397,-0.888,-0.906,-0.194,-0.575,0.585,0.16,0.593,0.348,0.137,0.197,-0.068,0.081,-0.09,0.028,-0.072,0.005,-0.055,-0.006,-0.044,-0.012,-0.038,-0.018,-0.036,-0.029,-0.04,-0.046,-0.051
1537,6801.42375314339,293.864423302294,6807.73962667129,298.127057364087,6814.29309368383,298.904674089108,4.52177300695742,7.98962511067446,6.12409778048822,10.3172689401394,6.66519851686355,4.08472429154701,0.98,-0.191,0.569,-0.816,-0.167,-0.975,-0.808,-0.554,-0.933,0.222,-0.414,0.857,0.597,0.707,0.442,-0.194,0.089,-0.177,0.007,-0.097,-0.01,-0.055,-0.014,-0.033,-0.013,-0.022,-0.013,-0.015,-0.012,-0.011,-0.012,-0.01
1538,6806.65246656541,291.257329021323,6804.11299225444,296.833613090883,6801.8260538218,309.751650237236,3.26242225808518,4.36302037899343,7.54743331814187,14.1134954111005,8.77964196071761,2.01624367539394,0.979,-0.194,0.555,-0.826,-0.219,-0.962,-0.82,-0.423,-0.709,0.291,-0.229,0.55,0.156,0.429,0.29,0.157,0.216,-0.031,0.114,-0.084,0.053,-0.081,0.022,-0.07,0.005,-0.06,-0.006,-0.055,-0.016,-0.055,-0.025,-0.06
1539,6818.69896449706,295.190369414494,6801.37123932905,294.582822803912,6818.34616670358,305.616069681309,4.71645686768916,4.78883963408801,6.82338589555378,13.3121980612267,4.91733932165528,3.29508086452232,0.981,-0.183,0.598,-0.791,-0.097,-0.961,-0.688,-0.608,-0.867,0.018,-0.582,0.584,0.057,0.781,0.558,0.289,0.323,-0.147,0.099,-0.157,0.02,-0.106,-0.006,-0.069,-0.014,-0.048,-0.017,-0.035,-0.019,-0.028,-0.021,-0.025
1540,6805.84699555843,301.128184089974,6812.27264003859,292.375117873934,6818.11295667728,310.981849181446,2.93389073419788,6.60556524783068,12.486297805381,10.4480255726193,9.69995301343921,1.46469813349883,0.975,-0.212,0.481,-0.862,-0.34,-0.926,-0.947,-0.266,-0.598,0.621,0.163,0.542,0.278,0.141,0.175,-0.016,0.095,-0.052,0.051,-0.054,0.027,-0.049,0.013,-0.045,0.004,-0.043,-0.003,-0.045,-0.012,-0.052,-0.023,-0.063
1541,6804.82287235313,306.710277807866,6808.54331088237,307.820563226859,6801.00726957054,295.645248726877,4.68062181165477,7.73400153126721,7.03493862818943,14.2187982151416,7.5572923687289,3.96634074800865,0.975,-0.215,0.465,-0.877,-0.377,-0.903,-0.915,-0.247,-0.696,0.571,0.173,0.824,0.536,0.037,0.161,-0.166,0.031,-0.106,-0.002,-0.063,-0.011,-0.04,-0.013,-0.027,-0.014,-0.021,-0.016,-0.017,-0.019,-0.016,-0.023,-0.016
1542,6812.07938526449,308.22326961027,6818.29622857997,304.764438678192,6810.33510284394,300.702618239386,4.35818997977793,8.08452742279239,11.3075260573058,13.3908581179084,8.07990833566992,1.74970223153913,0.972,-0.225,0.42,-0.901,-0.475,-0.867,-0.955,-0.06,-0.41,0.739,0.342,0.416,0.26,0.005,0.116,-0.066,0.05,-0.061,0.021,-0.049,0.007,-0.04,-0.0002299,-0.035,-0.006,-0.033,-0.011,-0.034,-0.02,-0.04,-0.035,-0.053
1543,6803.78662768236,303.010130267446,6801.18638243725,308.058178034284,6807.20445615006,292.992126346295,1.01731134771667,9.37198532340998,7.7284807663697,10.0595521396687,5.83143768716976,3.77663180492579,0.982,-0.181,0.611,-0.783,-0.073,-0.988,-0.734,-0.658,-0.966,0.084,-0.479,0.776,0.318,0.588,0.352,0.087,0.186,-0.057,0.091,-0.071,0.044,-0.061,0.021,-0.05,0.009,-0.041,0.002,-0.035,-0.003,-0.031,-0.006,-0.029
1544,6811.71524544773,301.040797319289,6805.83246369909,308.463385132549,6802.62655401587,291.828686730168,3.64418709642906,4.30031341652162,7.40607734726707,13.4797594913679,8.49029791740948,3.05257754256075,0.979,-0.195,0.552,-0.828,-0.217,-0.964,-0.835,-0.443,-0.754,0.317,-0.216,0.611,0.217,0.451,0.341,0.118,0.213,-0.083,0.087,-0.109,0.027,-0.085,0.002,-0.063,-0.009,-0.049,-0.015,-0.04,-0.02,-0.036,-0.026,-0.036
1545,6803.40573561929,309.385611372087,6801.63031038238,307.137044260022,6801.45695982897,303.430306384471,1.81347406653613,9.18712684636275,14.6187757748074,10.4742419815723,6.95546150500996,3.93689887184856,0.973,-0.224,0.419,-0.898,-0.464,-0.852,-0.917,-0.081,-0.438,0.67,0.269,0.458,0.277,0.053,0.143,-0.057,0.068,-0.067,0.031,-0.059,0.012,-0.051,0.001,-0.047,-0.007,-0.048,-0.02,-0.058,-0.062,-0.097,-0.474,-0.03
1546,6809.34598217313,308.024960057784,6818.53259277846,300.824784586883,6816.39620243315,295.083040476671,2.77221078041671,4.18467207267396,14.7664853808124,13.5538927736351,7.50471654897571,1.39452817980612,0.975,-0.214,0.464,-0.87,-0.384,-0.885,-0.848,-0.163,-0.476,0.443,-0.012,0.446,0.183,0.243,0.197,0.074,0.15,-0.016,0.102,-0.054,0.067,-0.069,0.044,-0.078,0.027,-0.093,0.006,-0.128,-0.07,-0.244,-0.79,-0.131
1547,6803.53573630047,309.702502104063,6814.7918474365,300.505176972966,6806.98842272461,304.741470903885,3.76251802018935,8.24893101092163,7.35895894428528,12.4295696336254,8.35342514453276,3.76653734180955,0.976,-0.21,0.488,-0.867,-0.341,-0.928,-0.922,-0.303,-0.75,0.561,0.17,0.834,0.498,0.066,0.174,-0.138,0.046,-0.1,0.007,-0.063,-0.005,-0.041,-0.01,-0.029,-0.011,-0.022,-0.012,-0.018,-0.014,-0.015,-0.016,-0.015
1548,6801.27928837583,299.763215371918,6818.77979926111,298.660145203761,6809.47653896657,290.088999686522,1.34445009375325,5.85964489674847,11.3577421774919,7.63767917137002,5.84513256407594,3.18134580601599,0.983,-0.173,0.64,-0.759,-0.003,-0.979,-0.632,-0.719,-0.922,-0.093,-0.653,0.573,0.039,0.704,0.35,0.291,0.269,0.024,0.157,-0.057,0.087,-0.07,0.048,-0.065,0.025,-0.057,0.012,-0.051,0.003,-0.047,-0.002,-0.046
1549,6808.26301099769,307.934357132717,6802.87337641922,303.180579749165,6807.93622085279,306.415134554597,3.12768048545196,8.72060193423111,12.4871679338472,12.8696501274474,7.47815214808161,2.25287493831348,0.973,-0.224,0.421,-0.9,-0.472,-0.87,-0.964,-0.054,-0.366,0.727,0.292,0.39,0.247,0.036,0.127,-0.052,0.061,-0.059,0.028,-0.052,0.012,-0.044,0.002,-0.04,-0.005,-0.039,-0.012,-0.042,-0.025,-0.054,-0.05,-0.079
1550,6804.41771321332,294.34146185729,6815.6541105446,294.21240011885,6803.05959019885,309.494456188329,1.10364292341903,6.92040876572123,14.3421036866715,8.36866414660639,6.32657985966957,1.13884676366381,0.981,-0.187,0.582,-0.797,-0.123,-0.961,-0.756,-0.571,-0.844,0.212,-0.252,0.593,0.131,0.377,0.189,0.163,0.16,0.053,0.124,0.001,0.096,-0.025,0.078,-0.04,0.066,-0.054,0.059,-0.072,0.057,-0.11,0.05,-0.191
1551,6817.70359382151,302.285488021896,6817.84298228726,301.057027235147,6806.32992264038,297.355393607405,1.82471265580025,9.32904313283983,12.7500211156005,11.6873979505259,4.40653494453407,4.959016969836,0.975,-0.214,0.466,-0.877,-0.391,-0.893,-0.876,-0.19,-0.564,0.501,0.057,0.59,0.341,0.205,0.223,-0.048,0.098,-0.088,0.038,-0.075,0.012,-0.059,-0.001,-0.048,-0.009,-0.043,-0.016,-0.042,-0.028,-0.047,-0.046,-0.06
1552,6801.02129795488,296.076859984306,6801.05147168914,308.093323338771,6807.63221369701,299.135520175888,4.32180662569264,8.41524870569734,14.0597439171645,8.40494405032236,9.18946576641713,2.65079799850441,0.971,-0.227,0.411,-0.891,-0.448,-0.863,-0.97,-0.122,-0.522,0.802,0.459,0.492,0.302,-0.052,0.107,-0.1,0.035,-0.075,0.008,-0.053,-0.003,-0.04,-0.009,-0.033,-0.013,-0.03,-0.019,-0.031,-0.034,-0.04,-0.071,-0.062
1553,6805.40144909386,307.239296073721,6812.93754817788,295.951592533485,6808.16999457419,296.284773710835,4.1963996604463,6.0178910651766,7.15277961512703,7.68851172584597,7.34638717676149,2.84905128553789,0.983,-0.173,0.643,-0.757,0.008,-0.991,-0.647,-0.752,-0.975,-0.104,-0.74,0.601,0.004,0.935,0.667,0.304,0.315,-0.173,0.089,-0.149,0.019,-0.094,-0.002,-0.059,-0.009,-0.039,-0.011,-0.027,-0.012,-0.02,-0.012,-0.016
1554,6803.06462615974,306.163527764753,6809.65385591113,294.481006681462,6817.35800636096,291.171711660232,4.76864623708168,8.93800218981974,14.1943539256033,12.5192890249129,8.88465504203268,1.80905937654922,0.967,-0.244,0.329,-0.933,-0.621,-0.768,-0.933,0.224,-0.018,0.763,0.348,0.156,0.167,-0.051,0.068,-0.064,0.028,-0.052,0.01,-0.042,0.001,-0.036,-0.005,-0.034,-0.012,-0.037,-0.025,-0.048,-0.078,-0.095,-0.7,0.478
1555,6816.81845960968,304.554398294885,6805.47725880115,302.954210794381,6803.2499162972,293.199858194523,3.46634870490616,5.82395667664352,13.0428061648999,9.27513239991961,6.52361863550995,4.28303994714884,0.977,-0.205,0.505,-0.848,-0.278,-0.922,-0.854,-0.398,-0.824,0.418,-0.048,0.838,0.498,0.281,0.279,-0.102,0.094,-0.123,0.024,-0.087,-0.001,-0.059,-0.01,-0.042,-0.014,-0.033,-0.017,-0.028,-0.022,-0.026,-0.028,-0.028
1556,6816.97716837644,309.937205543982,6814.02230577488,290.896166202456,6809.56793522681,297.66244547709,2.17439984798872,6.9476216189488,13.7933473600931,13.2128144925978,4.3655881500063,2.89561363463112,0.976,-0.209,0.488,-0.863,-0.34,-0.899,-0.839,-0.261,-0.596,0.423,-0.04,0.54,0.235,0.279,0.23,0.056,0.153,-0.041,0.089,-0.068,0.05,-0.072,0.025,-0.071,0.009,-0.073,-0.006,-0.083,-0.035,-0.119,-0.128,-0.211
1557,6818.807762829,308.612847319141,6805.80037752948,290.318988475347,6807.29861970357,296.438479357978,1.52310890432494,8.07844624829675,14.6618186572567,13.7993462553485,8.48108607339572,3.88573766516274,0.969,-0.24,0.342,-0.931,-0.603,-0.771,-0.892,0.2,-0.078,0.651,0.263,0.223,0.181,0.008,0.098,-0.043,0.052,-0.05,0.028,-0.048,0.014,-0.047,0.004,-0.049,-0.007,-0.06,-0.031,-0.093,-0.308,-0.23,0.007,0.264
1558,6809.64918798485,300.967519654832,6814.53459571261,299.138911320737,6810.03332450416,299.399422283882,4.87852755545462,6.66473500184369,12.5815928982069,12.218216819926,9.70461137707908,2.09742309020736,0.97,-0.232,0.39,-0.908,-0.519,-0.841,-0.948,0.028,-0.326,0.742,0.374,0.385,0.261,-0.033,0.101,-0.085,0.036,-0.067,0.01,-0.05,-0.001,-0.038,-0.007,-0.032,-0.011,-0.03,-0.018,-0.031,-0.029,-0.037,-0.05,-0.05
1559,6810.9655596623,306.854431265019,6807.94497153558,304.958283013972,6806.49348114968,300.27035560029,2.33415847170123,4.97196370040121,13.5751400145684,12.4416588931608,8.24912220065275,3.21411792734532,0.975,-0.215,0.461,-0.875,-0.384,-0.897,-0.914,-0.192,-0.523,0.574,0.118,0.507,0.265,0.169,0.192,-0.005,0.111,-0.058,0.058,-0.066,0.028,-0.062,0.011,-0.057,-0.001,-0.056,-0.013,-0.061,-0.033,-0.079,-0.076,-0.117
1560,6806.82686871061,298.796147596984,6802.88533337297,294.3692266109,6806.86516492655,305.256985663926,2.59039641615262,4.38741020234037,14.1551131009183,7.24234485859339,6.16932236719184,3.21499987095843,0.981,-0.186,0.584,-0.787,-0.091,-0.945,-0.681,-0.621,-0.901,0.028,-0.54,0.657,0.16,0.675,0.409,0.221,0.281,-0.045,0.143,-0.107,0.065,-0.102,0.025,-0.086,0.004,-0.073,-0.01,-0.067,-0.023,-0.068,-0.039,-0.077
1561,6814.39913330676,292.419233009988,6809.31449292119,307.829034677041,6809.84627309521,303.420025338182,1.91464802316025,4.23632162878806,10.5024881711282,11.7899911172326,9.3256725605179,3.40310314075416,0.978,-0.199,0.535,-0.836,-0.244,-0.959,-0.885,-0.411,-0.728,0.452,-0.037,0.599,0.241,0.284,0.223,0.062,0.148,-0.031,0.087,-0.058,0.047,-0.061,0.024,-0.056,0.009,-0.052,-0.001,-0.049,-0.01,-0.05,-0.017,-0.054
1562,6810.82199642366,298.162165463513,6806.71420011995,301.653052093076,6802.61809807404,295.408006430425,4.64518039819993,5.29348090595913,9.03747558384007,11.5551856313438,7.26358267812184,3.11831507711781,0.978,-0.198,0.539,-0.834,-0.231,-0.957,-0.849,-0.452,-0.833,0.35,-0.189,0.786,0.46,0.43,0.342,-0.076,0.115,-0.132,0.03,-0.092,0.001,-0.06,-0.008,-0.041,-0.012,-0.03,-0.013,-0.023,-0.015,-0.019,-0.016,-0.018
1563,6812.21138041824,306.698942699569,6804.20042845267,310.561122615384,6816.29337034211,299.958179733369,3.84497982583971,6.00043167629797,7.20782610870222,13.2791347183231,6.95504335627889,4.46486198972367,0.978,-0.2,0.531,-0.839,-0.245,-0.951,-0.857,-0.44,-0.839,0.376,-0.153,0.814,0.494,0.407,0.341,-0.105,0.103,-0.144,0.02,-0.094,-0.005,-0.059,-0.012,-0.039,-0.014,-0.028,-0.016,-0.022,-0.017,-0.018,-0.019,-0.017
1564,6808.53919649879,309.311943006466,6816.68706483799,310.148667907469,6811.32456509252,308.425446760777,3.15119723340305,6.97029701968295,11.8417928400168,9.77998139367708,7.48541829804166,2.71998775237036,0.977,-0.203,0.518,-0.844,-0.267,-0.948,-0.893,-0.408,-0.815,0.486,0.05,0.771,0.401,0.215,0.231,-0.051,0.101,-0.085,0.041,-0.071,0.014,-0.054,0.002,-0.043,-0.005,-0.035,-0.009,-0.031,-0.014,-0.03,-0.019,-0.032
1565,6814.48234085122,306.405692962288,6812.64506681234,291.178449816571,6810.73134376157,309.282018781522,4.9148634108686,6.36107036407302,11.1035082399852,7.83322539786613,6.65708230226509,2.34360707325197,0.98,-0.192,0.566,-0.809,-0.15,-0.968,-0.798,-0.575,-0.957,0.223,-0.343,0.888,0.512,0.51,0.362,-0.06,0.134,-0.123,0.044,-0.092,0.011,-0.063,-0.002,-0.045,-0.007,-0.034,-0.01,-0.027,-0.013,-0.023,-0.014,-0.021
1566,6807.18212847768,309.165893798123,6805.63437517245,294.848206925342,6803.79097427809,293.772395073524,4.00698269822614,7.05137830063563,6.24806007182477,7.5751177420072,8.93604977186089,2.06811226563566,0.983,-0.176,0.631,-0.768,-0.026,-0.989,-0.677,-0.701,-0.929,-0.043,-0.677,0.581,0.023,0.911,0.651,0.229,0.273,-0.161,0.084,-0.131,0.023,-0.085,0.002,-0.057,-0.006,-0.039,-0.009,-0.029,-0.01,-0.022,-0.011,-0.019
1567,6805.95508036284,299.767655615348,6802.98532499292,309.902683031139,6814.30880419806,305.351176455628,3.44534788317467,4.89078186461998,14.976079421734,13.8754614776257,9.74050022051464,1.10029655360748,0.971,-0.231,0.393,-0.903,-0.524,-0.826,-0.853,0.073,-0.27,0.53,0.135,0.357,0.21,0.12,0.157,-0.005,0.098,-0.048,0.06,-0.059,0.036,-0.063,0.021,-0.07,0.007,-0.087,-0.021,-0.138,-0.302,-0.356,-0.111,0.445
1568,6816.64665531933,309.978568708497,6812.7779854816,301.981249049346,6812.79392577777,302.162969604555,2.68245110863603,6.47628738394343,8.09264680616056,13.1578642362697,5.75205036293265,1.91450833567511,0.981,-0.184,0.597,-0.796,-0.112,-0.981,-0.758,-0.598,-0.897,0.154,-0.373,0.69,0.223,0.514,0.312,0.137,0.202,-0.027,0.111,-0.066,0.059,-0.066,0.03,-0.059,0.014,-0.051,0.004,-0.046,-0.003,-0.044,-0.008,-0.045
1569,6801.57428482832,292.838601799012,6807.22716071026,303.270492495016,6816.60750512582,309.706707960229,3.50935909091418,9.19224583136582,9.81252865592547,10.1607139367413,6.93619873192191,1.89294004125432,0.978,-0.2,0.531,-0.841,-0.254,-0.959,-0.89,-0.432,-0.855,0.478,0.08,0.801,0.392,0.182,0.209,-0.046,0.094,-0.071,0.042,-0.06,0.018,-0.047,0.006,-0.038,-0.001,-0.031,-0.005,-0.028,-0.008,-0.026,-0.011,-0.026
1570,6805.85971568999,306.477736747911,6804.70091448,301.825482691042,6813.18639934971,295.068632175833,2.3453325958311,9.63071801732108,7.54748914664837,8.45719524663592,8.17995865538341,2.26404223489537,0.981,-0.186,0.59,-0.8,-0.122,-0.974,-0.749,-0.603,-0.956,0.117,-0.455,0.868,0.459,0.533,0.342,0.002,0.153,-0.085,0.067,-0.077,0.029,-0.06,0.011,-0.046,0.002,-0.036,-0.003,-0.03,-0.006,-0.026,-0.009,-0.024
1571,6808.48522465811,309.241785470533,6811.66061575073,300.154397367738,6802.92081574327,305.788162256924,3.13432754723415,8.89250001055801,14.7199004093087,14.7759787673898,6.01478934231886,1.94122938437909,0.97,-0.235,0.368,-0.922,-0.563,-0.793,-0.876,0.118,-0.193,0.615,0.223,0.299,0.203,0.052,0.125,-0.031,0.072,-0.051,0.042,-0.054,0.024,-0.056,0.011,-0.061,-0.001,-0.077,-0.033,-0.133,-0.851,-0.041,0.022,0.218
1572,6803.15234447558,305.242687699891,6815.96138906965,307.833604007783,6815.95531072573,301.228672050842,4.90770201249206,7.65419772501031,8.92050563521382,14.9696544372832,6.00479839063481,2.37443802519992,0.975,-0.214,0.468,-0.875,-0.372,-0.898,-0.898,-0.252,-0.684,0.568,0.199,0.719,0.403,0.088,0.179,-0.093,0.067,-0.088,0.022,-0.066,0.004,-0.049,-0.005,-0.039,-0.01,-0.033,-0.015,-0.031,-0.023,-0.034,-0.035,-0.04
1573,6811.1610794747,301.175931947341,6804.40012890997,299.134167502595,6815.16253409772,294.583114827116,3.61737414139607,4.27206509164261,13.8114513249777,13.2588121464154,9.06379810740612,2.78838960086667,0.972,-0.226,0.413,-0.895,-0.473,-0.848,-0.892,-0.034,-0.377,0.574,0.151,0.444,0.273,0.133,0.186,-0.039,0.092,-0.079,0.038,-0.074,0.012,-0.063,-0.003,-0.056,-0.014,-0.054,-0.028,-0.06,-0.06,-0.084,-0.163,-0.141
1574,6818.51883864596,292.247539367251,6810.09850709077,305.977420548599,6803.97184001086,304.356015854862,3.75408426026334,7.11044518466807,8.16047816517147,9.88377199419186,7.8705181460664,1.41269337288068,0.981,-0.187,0.589,-0.801,-0.127,-0.985,-0.785,-0.592,-0.936,0.184,-0.37,0.819,0.409,0.504,0.33,0.011,0.151,-0.08,0.066,-0.074,0.029,-0.058,0.012,-0.045,0.003,-0.036,-0.002,-0.03,-0.005,-0.026,-0.008,-0.025
1575,6805.79037026279,306.006150206797,6813.99197751088,309.281594894492,6815.28683130328,296.713077487531,2.14716978383934,6.3712107139692,11.0580514917629,7.42302886640639,8.95847462517537,2.30523167570575,0.98,-0.188,0.582,-0.796,-0.112,-0.966,-0.751,-0.619,-0.974,0.155,-0.349,0.83,0.346,0.478,0.316,0.065,0.175,-0.054,0.09,-0.071,0.045,-0.064,0.022,-0.054,0.009,-0.046,0.0004425,-0.041,-0.005,-0.038,-0.01,-0.038
1576,6805.80698975559,290.462284101534,6814.79913646185,296.674258400385,6809.05957275875,291.394889570436,2.00729408650474,6.52510370363638,14.5896178908752,8.16635812713667,9.66871569885993,2.29394203697182,0.975,-0.211,0.481,-0.852,-0.305,-0.912,-0.907,-0.342,-0.708,0.587,0.147,0.61,0.298,0.167,0.194,-0.009,0.11,-0.054,0.061,-0.06,0.034,-0.058,0.018,-0.056,0.006,-0.057,-0.005,-0.065,-0.026,-0.092,-0.091,-0.159
1577,6801.17265043896,310.140509314984,6804.18840136894,302.515863062495,6810.83553219106,295.409925557193,3.18129172473254,5.86686439558438,14.7942387239786,8.34828611820813,5.43926705595042,1.31903921817026,0.98,-0.191,0.568,-0.801,-0.138,-0.951,-0.754,-0.561,-0.869,0.185,-0.325,0.674,0.213,0.478,0.293,0.144,0.205,-0.011,0.126,-0.059,0.077,-0.07,0.047,-0.071,0.029,-0.073,0.016,-0.082,-0.001,-0.114,-0.047,-0.2
1578,6811.5700800609,300.497208228309,6807.33802082416,293.12416489907,6810.78063601649,305.105345807134,4.61880487147062,4.66410357511379,6.84590130572485,12.6174180525806,7.81843009063602,4.94049763031775,0.978,-0.199,0.532,-0.839,-0.246,-0.95,-0.856,-0.429,-0.794,0.376,-0.169,0.714,0.368,0.474,0.424,-0.038,0.132,-0.178,0.015,-0.112,-0.013,-0.064,-0.018,-0.039,-0.018,-0.026,-0.018,-0.019,-0.018,-0.015,-0.019,-0.013
1579,6809.1891104338,303.195261719459,6805.69684451144,305.96052050142,6816.98441229582,303.151078840933,4.35512811647522,5.44955043391502,8.56359793344039,9.17467107128063,8.07607811326519,4.20476775631146,0.979,-0.194,0.558,-0.82,-0.18,-0.969,-0.828,-0.538,-0.927,0.285,-0.292,0.854,0.515,0.557,0.417,-0.119,0.109,-0.167,0.015,-0.1,-0.008,-0.059,-0.013,-0.036,-0.014,-0.024,-0.014,-0.017,-0.013,-0.013,-0.013,-0.011
1580,6815.9689244829,306.412672053827,6808.4515812884,301.566093950499,6807.35284103906,309.724456014929,1.39051140375338,6.70915089648436,11.1652214654106,14.370539695028,6.81711893854859,1.99431834967679,0.977,-0.204,0.514,-0.852,-0.303,-0.941,-0.897,-0.306,-0.602,0.491,0.016,0.504,0.199,0.226,0.177,0.062,0.127,-0.008,0.087,-0.035,0.06,-0.046,0.042,-0.051,0.03,-0.057,0.021,-0.068,0.01,-0.091,-0.007,-0.132
1581,6814.49861399223,295.822805825983,6806.42242376408,302.590618200952,6809.74936414273,300.132977390331,1.0830245640927,4.75381685015085,11.8890831447385,7.61520204757897,8.68996185913662,3.64810905021472,0.981,-0.185,0.591,-0.789,-0.093,-0.964,-0.723,-0.635,-0.964,0.11,-0.38,0.78,0.274,0.483,0.29,0.114,0.185,-0.017,0.109,-0.052,0.064,-0.058,0.038,-0.055,0.021,-0.051,0.011,-0.049,0.002,-0.049,-0.003,-0.051
1582,6814.85151642612,302.271118657681,6807.36228024364,294.460355616207,6817.05959647528,300.236364389277,1.10990856908063,5.71467505876009,6.6270021986789,10.0201221066287,8.11738128429259,4.55562819571301,0.983,-0.175,0.634,-0.768,-0.025,-0.993,-0.684,-0.714,-0.979,-0.018,-0.59,0.717,0.222,0.669,0.369,0.162,0.22,-0.034,0.113,-0.069,0.057,-0.065,0.028,-0.054,0.013,-0.044,0.004,-0.037,-0.001,-0.032,-0.004,-0.029
1583,6808.66967025606,292.11969616564,6811.79973501662,305.724423054891,6812.54752146678,310.95152838219,3.77401868233348,8.36331215151435,7.74145012463062,10.1051227976332,7.91096075237017,2.53833894482104,0.979,-0.195,0.553,-0.828,-0.207,-0.97,-0.844,-0.498,-0.912,0.322,-0.188,0.927,0.549,0.322,0.275,-0.094,0.096,-0.106,0.032,-0.075,0.008,-0.051,-0.002,-0.037,-0.006,-0.027,-0.008,-0.022,-0.01,-0.018,-0.011,-0.017
1584,6811.27043430125,296.683944467511,6813.36577394458,308.794820129895,6810.73990314926,303.255698472228,4.8987030850594,9.79966756839872,6.99529383148507,14.7567885844683,8.95321951770322,3.16456000288341,0.971,-0.23,0.392,-0.911,-0.509,-0.828,-0.921,-0.038,-0.491,0.75,0.538,0.528,0.294,-0.123,0.075,-0.115,0.015,-0.071,-0.003,-0.045,-0.009,-0.031,-0.011,-0.024,-0.014,-0.02,-0.017,-0.019,-0.024,-0.021,-0.036,-0.025
1585,6812.41624447621,299.912951278011,6808.54344261287,298.715200081334,6803.85525070629,297.658884382173,1.61165481177052,6.51552272764459,9.76161985564758,7.95979223389047,5.76743405318045,3.75875332461979,0.983,-0.174,0.64,-0.762,-0.008,-0.988,-0.652,-0.723,-0.95,-0.079,-0.676,0.625,0.109,0.776,0.432,0.24,0.269,-0.041,0.129,-0.089,0.059,-0.079,0.025,-0.062,0.009,-0.049,0.0001338,-0.039,-0.005,-0.033,-0.008,-0.03
1586,6807.48374912107,298.84926662336,6804.73039872128,301.378010597523,6814.34436667556,304.424253652466,4.63780460006921,7.43808886639918,10.0190926906269,14.8391505926014,7.59703774107632,2.75063154723675,0.972,-0.225,0.417,-0.902,-0.474,-0.857,-0.932,-0.077,-0.473,0.704,0.354,0.515,0.318,-0.013,0.121,-0.097,0.04,-0.077,0.01,-0.055,-0.002,-0.041,-0.008,-0.032,-0.012,-0.028,-0.017,-0.028,-0.027,-0.032,-0.045,-0.042
1587,6808.1311060613,297.550630905373,6808.82181298026,297.175452905447,6803.18710006234,305.45527809387,2.80674243681194,8.66044697237873,14.3673854777735,12.9244959298577,8.68823199566221,3.65325785461819,0.968,-0.244,0.328,-0.935,-0.62,-0.762,-0.919,0.221,-0.038,0.73,0.334,0.186,0.183,-0.042,0.077,-0.068,0.03,-0.058,0.01,-0.046,-0.001,-0.039,-0.008,-0.036,-0.016,-0.039,-0.032,-0.052,-0.114,-0.107,0.01,0.461
1588,6803.26178206049,310.243847549956,6813.46181639285,299.14875249218,6812.54787679217,298.340235475436,2.80804969676207,7.69915143558115,14.6216135720452,7.54823060210345,5.13973002058714,1.71811588937808,0.979,-0.193,0.56,-0.811,-0.167,-0.95,-0.775,-0.523,-0.841,0.229,-0.275,0.671,0.231,0.445,0.286,0.122,0.195,-0.021,0.117,-0.063,0.069,-0.071,0.041,-0.07,0.023,-0.071,0.009,-0.078,-0.008,-0.105,-0.052,-0.178
