NUM,W1,W2,W3,W4,W5,W6,L1,L2,L3,L4,L5,L6,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P
16,6818.56,294.28,6816.09,308.80,6812.10,303.55,3.47,5.57,7.56,13.01,6.81,3.02,0.98,-0.19,0.57,-0.81,-0.17,-0.97,-0.80,-0.53,-0.87,0.23,-0.32,0.73,0.33,0.54,0.38,0.05,0.18,-0.11,0.07,-0.10,0.02,-0.07,0.00,-0.05,-0.01,-0.04,-0.01,-0.03,-0.01,-0.03,-0.02,-0.03
17,6806.77,297.76,6811.04,303.88,6816.29,298.14,2.30,8.05,11.96,9.68,5.58,2.60,0.98,-0.20,0.55,-0.83,-0.21,-0.96,-0.84,-0.48,-0.83,0.34,-0.14,0.72,0.31,0.35,0.27,0.04,0.15,-0.05,0.08,-0.07,0.04,-0.06,0.02,-0.05,0.01,-0.05,-0.00,-0.04,-0.01,-0.04,-0.01,-0.05
18,6801.36,290.43,6809.01,293.46,6815.36,293.49,1.83,5.86,14.51,10.66,7.91,4.98,0.97,-0.22,0.43,-0.89,-0.42,-0.87,-0.92,-0.17,-0.54,0.67,0.27,0.52,0.30,0.07,0.16,-0.06,0.07,-0.07,0.03,-0.06,0.01,-0.05,0.00,-0.05,-0.01,-0.04,-0.02,-0.05,-0.04,-0.07,-0.13,-0.11
19,6807.54,303.80,6806.69,301.06,6802.42,310.49,4.55,4.92,13.69,13.33,5.63,3.78,0.97,-0.22,0.43,-0.88,-0.41,-0.84,-0.84,-0.19,-0.60,0.51,0.10,0.66,0.42,0.18,0.23,-0.10,0.08,-0.12,0.02,-0.09,-0.00,-0.06,-0.01,-0.05,-0.02,-0.04,-0.03,-0.04,-0.05,-0.05,-0.10,-0.07
20,6814.91,298.55,6801.20,306.35,6805.73,304.11,3.44,8.45,12.30,12.72,7.06,4.73,0.97,-0.23,0.39,-0.91,-0.52,-0.83,-0.96,0.00,-0.36,0.81,0.44,0.38,0.27,-0.07,0.09,-0.10,0.02,-0.07,0.00,-0.05,-0.01,-0.03,-0.01,-0.03,-0.01,-0.02,-0.02,-0.02,-0.03,-0.03,-0.04,-0.03
21,6817.34,292.38,6808.78,298.03,6811.04,297.91,2.37,7.74,6.87,13.13,9.19,3.75,0.98,-0.21,0.50,-0.86,-0.31,-0.94,-0.90,-0.34,-0.76,0.51,0.09,0.76,0.41,0.17,0.21,-0.07,0.08,-0.09,0.03,-0.07,0.01,-0.05,-0.00,-0.04,-0.01,-0.03,-0.01,-0.03,-0.01,-0.03,-0.02,-0.03
22,6803.92,305.92,6802.54,303.60,6806.49,310.06,1.29,8.42,13.75,10.42,5.96,1.34,0.98,-0.20,0.53,-0.84,-0.25,-0.95,-0.87,-0.39,-0.68,0.44,-0.04,0.53,0.18,0.25,0.17,0.09,0.13,0.01,0.10,-0.02,0.07,-0.04,0.06,-0.05,0.04,-0.06,0.04,-0.07,0.03,-0.11,0.01,-0.19
23,6816.74,304.07,6803.97,297.99,6807.68,301.28,4.16,6.74,6.08,13.69,5.28,2.14,0.98,-0.18,0.60,-0.79,-0.10,-0.97,-0.71,-0.61,-0.89,0.05,-0.56,0.66,0.21,0.75,0.47,0.13,0.23,-0.10,0.10,-0.11,0.04,-0.08,0.01,-0.06,-0.00,-0.05,-0.01,-0.04,-0.01,-0.04,-0.02,-0.03
24,6808.78,305.17,6803.65,306.26,6811.73,306.29,4.58,6.09,7.14,11.27,9.14,2.99,0.98,-0.20,0.54,-0.84,-0.24,-0.96,-0.87,-0.42,-0.80,0.37,-0.19,0.76,0.48,0.45,0.35,-0.11,0.10,-0.14,0.02,-0.09,-0.00,-0.06,-0.01,-0.04,-0.01,-0.03,-0.01,-0.02,-0.01,-0.02,-0.02,-0.02
25,6804.48,301.12,6816.56,293.38,6808.20,310.78,2.99,5.41,7.50,13.16,8.13,3.45,0.98,-0.20,0.55,-0.83,-0.22,-0.96,-0.85,-0.45,-0.80,0.35,-0.17,0.70,0.33,0.40,0.32,0.02,0.16,-0.09,0.06,-0.09,0.02,-0.07,0.00,-0.05,-0.01,-0.04,-0.01,-0.03,-0.02,-0.03,-0.02,-0.03
26,6808.22,290.17,6813.85,295.58,6812.92,299.54,3.07,8.56,11.22,12.77,4.46,4.49,0.97,-0.21,0.47,-0.87,-0.37,-0.90,-0.91,-0.24,-0.64,0.56,0.13,0.66,0.39,0.16,0.21,-0.09,0.08,-0.10,0.02,-0.07,0.00,-0.05,-0.01,-0.04,-0.01,-0.03,-0.02,-0.03,-0.02,-0.03,-0.03,-0.03
27,6812.34,291.05,6809.40,303.08,6806.20,291.72,3.75,9.88,8.41,10.71,9.72,1.18,0.98,-0.21,0.48,-0.87,-0.34,-0.92,-0.90,-0.31,-0.76,0.58,0.28,0.72,0.35,0.06,0.15,-0.06,0.07,-0.06,0.03,-0.05,0.01,-0.04,0.01,-0.03,-0.00,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,-0.03
28,6814.79,290.32,6808.32,296.60,6816.73,291.83,1.74,6.66,10.82,13.56,9.75,3.15,0.97,-0.22,0.44,-0.89,-0.44,-0.89,-0.96,-0.10,-0.40,0.68,0.23,0.41,0.24,0.08,0.14,-0.03,0.08,-0.05,0.04,-0.05,0.02,-0.05,0.01,-0.04,0.00,-0.04,-0.01,-0.05,-0.02,-0.06,-0.04,-0.08
29,6801.07,292.99,6803.30,296.54,6814.63,298.46,4.84,5.53,11.12,11.00,6.05,2.32,0.98,-0.20,0.54,-0.83,-0.22,-0.95,-0.83,-0.46,-0.84,0.33,-0.18,0.79,0.43,0.39,0.31,-0.04,0.13,-0.10,0.05,-0.09,0.01,-0.06,0.00,-0.05,-0.01,-0.04,-0.01,-0.03,-0.01,-0.03,-0.02,-0.03
30,6813.81,292.32,6804.07,300.99,6805.54,295.88,1.14,4.38,13.16,14.26,6.79,3.30,0.98,-0.21,0.49,-0.86,-0.33,-0.91,-0.86,-0.26,-0.56,0.45,-0.01,0.49,0.19,0.24,0.18,0.07,0.14,-0.01,0.10,-0.04,0.07,-0.05,0.05,-0.06,0.04,-0.07,0.02,-0.10,-0.00,-0.15,-0.09,-0.26
31,6811.47,294.07,6808.03,310.07,6814.64,303.76,1.43,4.74,8.62,11.39,7.60,4.38,0.98,-0.18,0.60,-0.80,-0.11,-0.98,-0.77,-0.61,-0.94,0.19,-0.31,0.75,0.27,0.46,0.29,0.11,0.18,-0.03,0.10,-0.06,0.05,-0.06,0.03,-0.05,0.01,-0.05,0.00,-0.04,-0.00,-0.04,-0.01,-0.04
32,6816.66,300.29,6809.58,294.35,6804.96,299.70,2.01,7.01,12.44,11.85,9.40,3.09,0.97,-0.22,0.44,-0.89,-0.43,-0.89,-0.97,-0.12,-0.42,0.71,0.25,0.42,0.25,0.07,0.14,-0.04,0.07,-0.06,0.04,-0.05,0.02,-0.05,0.01,-0.04,-0.00,-0.04,-0.01,-0.04,-0.02,-0.05,-0.04,-0.07
33,6801.96,305.47,6810.36,290.53,6814.46,307.23,1.89,6.62,6.51,7.78,7.91,3.90,0.98,-0.17,0.66,-0.75,0.03,-0.99,-0.61,-0.77,-0.96,-0.17,-0.79,0.56,-0.01,0.92,0.54,0.32,0.32,-0.08,0.13,-0.12,0.05,-0.09,0.02,-0.06,0.00,-0.05,-0.01,-0.04,-0.01,-0.03,-0.01,-0.02
34,6809.61,308.47,6801.31,292.32,6805.50,306.83,2.12,6.01,6.93,9.35,8.02,4.83,0.98,-0.18,0.62,-0.78,-0.07,-0.99,-0.73,-0.67,-0.98,0.05,-0.55,0.77,0.31,0.70,0.45,0.09,0.21,-0.11,0.08,-0.10,0.03,-0.08,0.00,-0.05,-0.00,-0.04,-0.01,-0.03,-0.01,-0.02,-0.01,-0.02
35,6812.71,306.40,6806.90,294.38,6818.91,307.19,4.21,9.76,13.27,9.89,4.64,1.15,0.98,-0.21,0.50,-0.86,-0.32,-0.93,-0.92,-0.30,-0.65,0.56,0.12,0.57,0.27,0.17,0.18,0.00,0.10,-0.04,0.06,-0.05,0.04,-0.05,0.02,-0.05,0.01,-0.05,0.00,-0.05,-0.01,-0.07,-0.02,-0.10
36,6803.50,291.71,6807.03,302.61,6815.79,301.69,1.68,6.62,12.74,11.46,5.25,2.96,0.98,-0.20,0.54,-0.83,-0.23,-0.95,-0.83,-0.43,-0.75,0.34,-0.14,0.62,0.24,0.35,0.25,0.08,0.16,-0.03,0.10,-0.06,0.06,-0.06,0.03,-0.06,0.01,-0.06,0.00,-0.06,-0.01,-0.07,-0.02,-0.08
37,6810.75,295.51,6804.06,301.54,6810.40,291.16,4.32,5.10,6.83,11.01,4.85,3.83,0.98,-0.17,0.63,-0.77,-0.02,-0.98,-0.63,-0.71,-0.93,-0.11,-0.73,0.56,-0.05,0.89,0.62,0.41,0.39,-0.16,0.11,-0.18,0.02,-0.11,-0.01,-0.07,-0.01,-0.04,-0.02,-0.03,-0.02,-0.02,-0.01,-0.02
38,6804.72,294.20,6812.50,304.80,6805.70,310.58,1.26,5.92,13.04,10.25,7.38,4.14,0.98,-0.20,0.52,-0.84,-0.27,-0.94,-0.87,-0.39,-0.77,0.46,0.02,0.68,0.31,0.23,0.22,0.01,0.12,-0.05,0.07,-0.06,0.04,-0.06,0.02,-0.05,0.01,-0.05,-0.00,-0.05,-0.01,-0.05,-0.02,-0.06
39,6810.90,302.36,6809.29,294.25,6805.72,302.84,2.16,4.78,11.66,11.96,8.44,4.10,0.98,-0.21,0.49,-0.86,-0.33,-0.93,-0.91,-0.30,-0.65,0.56,0.10,0.59,0.30,0.19,0.21,-0.01,0.11,-0.07,0.05,-0.07,0.02,-0.06,0.01,-0.05,-0.00,-0.04,-0.01,-0.04,-0.02,-0.04,-0.03,-0.05
40,6812.42,309.24,6809.15,305.51,6809.93,290.68,3.67,6.71,9.88,13.21,4.96,2.93,0.98,-0.20,0.54,-0.84,-0.24,-0.95,-0.83,-0.44,-0.82,0.35,-0.14,0.76,0.39,0.36,0.30,-0.01,0.14,-0.10,0.06,-0.09,0.02,-0.07,0.00,-0.05,-0.01,-0.04,-0.01,-0.04,-0.02,-0.03,-0.02,-0.03
41,6801.78,309.60,6808.26,303.70,6802.69,292.11,4.11,9.99,10.85,12.94,9.54,4.31,0.97,-0.24,0.33,-0.94,-0.62,-0.77,-0.96,0.20,-0.06,0.91,0.48,0.10,0.15,-0.12,0.04,-0.08,0.00,-0.05,-0.01,-0.03,-0.01,-0.02,-0.01,-0.02,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.04,-0.02
42,6809.17,310.53,6806.92,298.08,6814.79,299.61,1.54,4.56,7.17,14.24,8.37,3.60,0.98,-0.19,0.57,-0.81,-0.17,-0.97,-0.81,-0.51,-0.81,0.29,-0.21,0.62,0.19,0.39,0.25,0.13,0.18,-0.00,0.12,-0.05,0.07,-0.06,0.04,-0.06,0.02,-0.06,0.01,-0.06,-0.00,-0.06,-0.01,-0.07
43,6815.27,295.15,6808.92,307.51,6813.60,306.93,4.55,4.43,13.22,12.92,7.48,2.93,0.97,-0.22,0.44,-0.88,-0.40,-0.87,-0.88,-0.17,-0.55,0.54,0.10,0.59,0.36,0.18,0.22,-0.07,0.09,-0.10,0.03,-0.08,0.00,-0.06,-0.01,-0.05,-0.01,-0.04,-0.02,-0.04,-0.04,-0.05,-0.07,-0.07
44,6810.92,291.04,6801.01,310.67,6818.00,305.97,2.76,4.24,10.97,11.82,6.28,3.60,0.98,-0.19,0.56,-0.82,-0.18,-0.96,-0.79,-0.51,-0.84,0.25,-0.27,0.68,0.26,0.47,0.33,0.10,0.20,-0.06,0.10,-0.09,0.04,-0.08,0.01,-0.07,-0.00,-0.05,-0.01,-0.04,-0.02,-0.04,-0.02,-0.04
45,6812.85,309.81,6817.51,305.22,6808.74,294.04,3.27,6.90,12.87,7.17,4.73,3.03,0.98,-0.19,0.59,-0.80,-0.11,-0.96,-0.72,-0.60,-0.90,0.09,-0.48,0.68,0.20,0.65,0.42,0.18,0.26,-0.08,0.11,-0.11,0.04,-0.09,0.01,-0.07,-0.00,-0.06,-0.01,-0.05,-0.02,-0.04,-0.02,-0.04
46,6818.73,306.74,6813.58,302.37,6809.52,290.50,1.38,5.01,8.96,10.22,5.63,4.45,0.98,-0.17,0.64,-0.76,-0.01,-0.99,-0.65,-0.72,-0.95,-0.07,-0.65,0.63,0.11,0.72,0.38,0.24,0.26,-0.01,0.14,-0.07,0.07,-0.07,0.03,-0.06,0.01,-0.05,0.00,-0.04,-0.00,-0.04,-0.01,-0.03
47,6815.73,295.12,6803.29,303.44,6804.20,304.87,4.30,9.40,9.58,7.62,9.42,4.91,0.97,-0.22,0.46,-0.88,-0.39,-0.90,-0.94,-0.23,-0.71,0.62,0.30,0.93,0.53,-0.15,0.09,-0.17,0.01,-0.09,-0.01,-0.05,-0.01,-0.03,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
48,6809.34,302.97,6806.03,294.97,6810.86,303.38,1.50,4.55,11.07,9.44,5.62,2.54,0.98,-0.17,0.65,-0.75,0.02,-0.98,-0.62,-0.73,-0.91,-0.09,-0.61,0.53,-0.03,0.61,0.25,0.33,0.25,0.10,0.18,-0.01,0.12,-0.05,0.07,-0.06,0.04,-0.06,0.03,-0.06,0.01,-0.06,0.01,-0.06
49,6802.60,307.56,6812.52,295.41,6801.13,292.72,4.00,9.24,7.81,14.35,8.39,1.72,0.97,-0.22,0.46,-0.88,-0.40,-0.89,-0.92,-0.20,-0.62,0.64,0.30,0.61,0.33,0.04,0.14,-0.07,0.06,-0.07,0.03,-0.05,0.01,-0.04,0.00,-0.04,-0.01,-0.03,-0.01,-0.03,-0.02,-0.03,-0.03,-0.04
50,6818.21,295.54,6813.30,297.82,6818.48,307.90,2.35,7.08,11.09,11.47,6.11,3.56,0.98,-0.20,0.53,-0.84,-0.26,-0.95,-0.88,-0.41,-0.79,0.45,-0.01,0.73,0.36,0.26,0.24,-0.02,0.12,-0.08,0.05,-0.07,0.02,-0.06,0.01,-0.05,-0.00,-0.04,-0.01,-0.03,-0.01,-0.03,-0.02,-0.03
51,6807.91,298.36,6803.15,305.64,6815.79,295.63,2.01,9.18,11.04,7.84,6.74,2.56,0.98,-0.19,0.57,-0.81,-0.17,-0.97,-0.79,-0.54,-0.91,0.24,-0.26,0.80,0.36,0.41,0.29,0.03,0.15,-0.07,0.07,-0.07,0.04,-0.06,0.02,-0.05,0.01,-0.04,-0.00,-0.04,-0.01,-0.03,-0.01,-0.03
52,6801.70,295.87,6809.06,299.57,6813.93,297.37,1.34,4.44,9.52,9.70,9.86,2.21,0.98,-0.18,0.61,-0.78,-0.07,-0.98,-0.75,-0.65,-0.92,0.17,-0.32,0.65,0.15,0.43,0.23,0.17,0.18,0.04,0.13,-0.02,0.08,-0.04,0.06,-0.05,0.04,-0.05,0.02,-0.05,0.01,-0.05,0.01,-0.05
53,6803.26,303.04,6804.92,301.85,6802.10,304.72,2.77,8.40,14.57,14.61,7.14,3.65,0.97,-0.24,0.33,-0.94,-0.61,-0.75,-0.88,0.20,-0.11,0.68,0.31,0.24,0.20,-0.02,0.10,-0.07,0.04,-0.06,0.01,-0.05,0.00,-0.05,-0.01,-0.05,-0.02,-0.05,-0.05,-0.08,-0.54,-0.13,0.08,0.17
54,6811.39,294.85,6815.98,309.69,6806.19,307.17,3.21,7.94,8.45,12.64,5.99,4.86,0.98,-0.20,0.51,-0.85,-0.28,-0.94,-0.90,-0.40,-0.84,0.48,0.05,0.89,0.54,0.18,0.23,-0.14,0.06,-0.11,0.01,-0.07,-0.01,-0.05,-0.01,-0.03,-0.01,-0.02,-0.01,-0.02,-0.01,-0.02,-0.02,-0.02
55,6808.51,293.15,6811.59,308.63,6806.17,297.99,1.07,9.71,8.04,10.46,6.16,1.16,0.98,-0.18,0.62,-0.77,-0.04,-0.98,-0.69,-0.69,-0.98,0.05,-0.41,0.73,0.19,0.46,0.23,0.15,0.17,0.03,0.11,-0.02,0.08,-0.03,0.05,-0.04,0.04,-0.04,0.03,-0.04,0.02,-0.04,0.01,-0.04
56,6812.31,305.93,6810.24,305.00,6810.19,300.90,2.33,8.92,11.47,14.67,9.36,4.43,0.97,-0.24,0.34,-0.94,-0.61,-0.78,-0.95,0.21,-0.03,0.77,0.35,0.17,0.18,-0.05,0.07,-0.07,0.03,-0.06,0.01,-0.04,-0.00,-0.04,-0.01,-0.03,-0.01,-0.03,-0.02,-0.04,-0.05,-0.06,-0.13,-0.10
57,6809.31,301.98,6805.60,304.78,6801.10,291.18,1.48,5.94,14.22,12.66,7.23,1.98,0.98,-0.21,0.49,-0.86,-0.35,-0.92,-0.90,-0.23,-0.52,0.51,0.04,0.47,0.19,0.21,0.17,0.06,0.13,-0.01,0.09,-0.04,0.06,-0.05,0.04,-0.06,0.03,-0.07,0.02,-0.10,-0.01,-0.16,-0.17,-0.34
58,6806.10,300.20,6815.33,291.79,6816.14,305.75,2.55,8.75,13.34,9.28,6.17,2.58,0.98,-0.21,0.50,-0.86,-0.31,-0.93,-0.89,-0.33,-0.71,0.52,0.07,0.65,0.32,0.20,0.21,-0.02,0.11,-0.07,0.05,-0.07,0.03,-0.06,0.01,-0.05,0.00,-0.04,-0.01,-0.04,-0.02,-0.05,-0.03,-0.07
59,6810.59,309.62,6810.19,292.79,6803.84,291.67,2.62,4.77,10.75,11.10,5.38,1.78,0.98,-0.18,0.62,-0.78,-0.06,-0.98,-0.70,-0.65,-0.88,0.05,-0.47,0.57,0.06,0.55,0.28,0.26,0.24,0.04,0.16,-0.04,0.09,-0.07,0.05,-0.07,0.03,-0.06,0.01,-0.06,0.00,-0.06,-0.00,-0.06
60,6817.60,299.02,6816.72,291.98,6817.15,292.30,1.47,8.49,13.09,11.84,9.71,1.53,0.97,-0.22,0.43,-0.89,-0.45,-0.88,-0.98,-0.06,-0.30,0.68,0.20,0.33,0.19,0.08,0.12,-0.00,0.08,-0.03,0.05,-0.04,0.04,-0.04,0.03,-0.04,0.02,-0.05,0.01,-0.06,-0.00,-0.10,-0.04,-0.16
61,6812.66,297.24,6805.04,300.18,6801.24,304.98,2.65,5.13,14.85,12.76,7.53,4.88,0.97,-0.23,0.39,-0.90,-0.48,-0.82,-0.90,-0.05,-0.40,0.66,0.27,0.45,0.29,0.05,0.15,-0.07,0.07,-0.08,0.02,-0.07,0.00,-0.06,-0.01,-0.05,-0.02,-0.05,-0.04,-0.06,-0.10,-0.09,-0.43,0.38
62,6812.77,301.93,6812.63,303.94,6817.54,310.63,2.48,4.03,6.29,7.84,9.85,1.32,0.99,-0.16,0.70,-0.70,0.15,-0.97,-0.48,-0.86,-0.89,-0.33,-0.79,0.30,-0.34,0.62,0.10,0.56,0.32,0.29,0.29,0.04,0.19,-0.07,0.10,-0.09,0.05,-0.08,0.03,-0.07,0.01,-0.06,0.00,-0.05
63,6806.29,304.55,6801.35,295.34,6816.08,301.53,2.32,6.89,10.17,11.87,4.18,1.79,0.98,-0.18,0.61,-0.79,-0.08,-0.98,-0.73,-0.62,-0.88,0.12,-0.39,0.62,0.13,0.49,0.26,0.20,0.21,0.03,0.14,-0.04,0.08,-0.06,0.05,-0.06,0.03,-0.06,0.02,-0.05,0.01,-0.05,0.00,-0.06
64,6803.85,292.40,6811.55,296.50,6810.42,290.65,1.01,9.60,12.27,13.75,9.23,2.04,0.97,-0.23,0.40,-0.91,-0.51,-0.85,-0.97,0.06,-0.17,0.66,0.20,0.26,0.17,0.06,0.11,-0.01,0.07,-0.03,0.05,-0.03,0.03,-0.04,0.03,-0.04,0.02,-0.05,0.01,-0.07,-0.01,-0.11,-0.06,-0.21
65,6816.94,298.97,6804.68,300.66,6808.60,292.07,2.92,4.35,10.56,11.59,9.01,4.92,0.98,-0.21,0.49,-0.86,-0.33,-0.93,-0.92,-0.31,-0.68,0.57,0.11,0.63,0.34,0.20,0.23,-0.04,0.10,-0.09,0.04,-0.08,0.01,-0.06,-0.01,-0.04,-0.01,-0.04,-0.02,-0.03,-0.02,-0.03,-0.02,-0.03
66,6807.05,302.64,6802.15,309.16,6805.01,299.78,2.93,4.06,11.29,11.16,9.90,1.82,0.98,-0.20,0.53,-0.83,-0.24,-0.96,-0.89,-0.39,-0.68,0.42,-0.08,0.56,0.21,0.32,0.24,0.09,0.17,-0.03,0.10,-0.07,0.05,-0.07,0.03,-0.06,0.01,-0.06,-0.00,-0.06,-0.01,-0.06,-0.02,-0.06
67,6806.74,307.13,6810.91,299.06,6802.16,308.44,1.85,6.50,8.07,10.14,5.13,4.57,0.98,-0.17,0.63,-0.77,-0.02,-0.99,-0.67,-0.72,-0.97,-0.05,-0.66,0.67,0.16,0.80,0.48,0.20,0.27,-0.08,0.11,-0.11,0.04,-0.09,0.01,-0.06,0.00,-0.04,-0.01,-0.04,-0.01,-0.03,-0.01,-0.02
68,6815.15,300.61,6815.21,296.99,6801.53,290.87,4.59,5.04,12.14,11.05,9.09,2.56,0.97,-0.21,0.47,-0.87,-0.37,-0.91,-0.93,-0.23,-0.61,0.58,0.14,0.64,0.39,0.15,0.20,-0.09,0.07,-0.10,0.02,-0.07,0.00,-0.05,-0.01,-0.04,-0.01,-0.03,-0.02,-0.03,-0.02,-0.03,-0.03,-0.03
