NUM,W1,W2,W3,W4,W5,W6,L1,L2,L3,L4,L5,L6,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P
1,6805.331,307.389,6818.884,303.180,6814.098,292.217,2.460,7.234,9.479,12.642,9.154,1.779,0.977,-0.206,0.505,-0.857,-0.313,-0.940,-0.918,-0.318,-0.672,0.555,0.107,0.599,0.291,0.178,0.190,-0.008,0.103,-0.052,0.054,-0.055,0.028,-0.049,0.014,-0.044,0.005,-0.040,-0.002,-0.039,-0.009,-0.042,-0.015,-0.047
2,6802.957,295.243,6813.404,294.093,6801.282,298.813,3.609,7.541,14.210,7.754,4.538,1.794,0.979,-0.193,0.559,-0.813,-0.172,-0.953,-0.785,-0.519,-0.846,0.245,-0.261,0.687,0.252,0.442,0.296,0.106,0.192,-0.036,0.108,-0.071,0.059,-0.073,0.031,-0.068,0.014,-0.065,0.002,-0.067,-0.013,-0.081,-0.036,-0.115
3,6809.589,291.430,6817.833,308.474,6813.431,305.672,3.367,9.092,11.784,10.149,8.851,4.902,0.971,-0.230,0.394,-0.910,-0.505,-0.845,-0.977,-0.037,-0.435,0.863,0.550,0.394,0.258,-0.114,0.069,-0.106,0.013,-0.066,-0.003,-0.042,-0.008,-0.029,-0.010,-0.021,-0.012,-0.017,-0.014,-0.016,-0.018,-0.016,-0.024,-0.017
4,6801.405,301.273,6818.702,297.966,6807.056,309.522,4.100,4.877,12.118,14.982,6.067,3.384,0.974,-0.218,0.441,-0.884,-0.409,-0.855,-0.850,-0.177,-0.564,0.505,0.074,0.601,0.360,0.200,0.233,-0.063,0.097,-0.103,0.032,-0.085,0.005,-0.065,-0.008,-0.053,-0.017,-0.047,-0.027,-0.048,-0.048,-0.059,-0.099,-0.088
5,6806.746,306.776,6801.892,307.251,6810.935,299.642,1.872,8.051,6.827,8.533,8.698,3.901,0.981,-0.183,0.601,-0.793,-0.099,-0.983,-0.738,-0.629,-0.952,0.076,-0.550,0.798,0.430,0.700,0.423,0.003,0.171,-0.114,0.064,-0.093,0.022,-0.066,0.005,-0.048,-0.003,-0.035,-0.007,-0.028,-0.009,-0.023,-0.010,-0.020
6,6801.649,296.945,6801.805,291.239,6805.078,293.787,4.492,4.580,14.660,9.447,7.881,3.292,0.974,-0.216,0.459,-0.861,-0.340,-0.890,-0.893,-0.291,-0.700,0.546,0.109,0.725,0.442,0.179,0.234,-0.105,0.080,-0.116,0.020,-0.084,-0.002,-0.060,-0.012,-0.046,-0.018,-0.039,-0.026,-0.038,-0.043,-0.046,-0.089,-0.068
7,6806.420,303.440,6808.979,307.450,6812.084,290.743,3.855,6.476,11.316,8.420,7.778,1.614,0.979,-0.193,0.562,-0.811,-0.162,-0.969,-0.819,-0.554,-0.934,0.285,-0.218,0.851,0.423,0.392,0.298,-0.011,0.137,-0.083,0.061,-0.075,0.026,-0.059,0.009,-0.047,0.001,-0.038,-0.004,-0.033,-0.009,-0.031,-0.012,-0.031
8,6804.008,290.043,6813.646,307.296,6817.684,294.788,1.945,6.871,6.683,10.495,4.162,3.712,0.985,-0.164,0.675,-0.728,0.086,-0.984,-0.547,-0.819,-0.943,-0.263,-0.840,0.454,-0.187,0.851,0.424,0.500,0.392,0.033,0.200,-0.102,0.088,-0.103,0.035,-0.080,0.011,-0.060,-0.000,-0.046,-0.006,-0.036,-0.009,-0.031
9,6805.280,298.596,6806.559,295.721,6802.186,291.621,1.336,9.109,13.806,13.732,5.584,1.166,0.975,-0.214,0.466,-0.879,-0.404,-0.899,-0.903,-0.119,-0.394,0.524,0.071,0.376,0.157,0.163,0.137,0.054,0.107,0.004,0.083,-0.021,0.066,-0.036,0.056,-0.049,0.051,-0.067,0.049,-0.104,0.034,-0.222,-0.428,-0.575
10,6817.568,293.974,6808.879,304.380,6805.160,299.784,1.490,9.983,14.189,8.077,5.285,2.012,0.978,-0.199,0.530,-0.837,-0.250,-0.934,-0.819,-0.394,-0.713,0.348,-0.124,0.585,0.211,0.325,0.224,0.093,0.159,-0.009,0.104,-0.045,0.068,-0.057,0.045,-0.062,0.030,-0.067,0.018,-0.080,0.000,-0.115,-0.051,-0.201
