NUM,W1,W2,W3,W4,W5,W6,L1,L2,L3,L4,L5,L6,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P
11,6806.476,298.752,6801.908,310.548,6801.347,290.385,1.263,9.310,12.839,10.007,8.524,4.519,0.973,-0.222,0.431,-0.894,-0.441,-0.870,-0.939,-0.136,-0.513,0.737,0.353,0.462,0.269,0.014,0.123,-0.062,0.055,-0.060,0.025,-0.049,0.010,-0.041,0.002,-0.036,-0.004,-0.034,-0.010,-0.035,-0.019,-0.041,-0.033,-0.053
12,6802.588,290.722,6804.770,299.983,6811.550,294.368,2.232,6.517,6.782,9.566,8.929,1.855,0.983,-0.176,0.631,-0.769,-0.029,-0.987,-0.676,-0.700,-0.947,-0.024,-0.596,0.661,0.161,0.685,0.376,0.199,0.237,-0.026,0.123,-0.071,0.062,-0.069,0.030,-0.057,0.013,-0.047,0.004,-0.040,-0.002,-0.034,-0.005,-0.032
13,6807.607,303.240,6814.825,302.871,6805.452,296.997,1.625,6.830,9.936,11.431,8.882,3.447,0.978,-0.202,0.521,-0.847,-0.274,-0.953,-0.909,-0.392,-0.771,0.535,0.102,0.670,0.317,0.188,0.199,-0.012,0.105,-0.055,0.053,-0.056,0.027,-0.049,0.012,-0.042,0.003,-0.037,-0.003,-0.035,-0.008,-0.035,-0.012,-0.037
14,6808.694,295.066,6810.596,309.674,6817.765,297.440,4.469,9.546,12.484,13.518,4.625,2.547,0.973,-0.224,0.420,-0.899,-0.465,-0.859,-0.939,-0.076,-0.411,0.695,0.273,0.436,0.272,0.052,0.143,-0.059,0.065,-0.069,0.027,-0.060,0.008,-0.049,-0.002,-0.043,-0.010,-0.040,-0.018,-0.043,-0.034,-0.054,-0.066,-0.078
15,6806.214,293.054,6808.468,299.686,6803.092,308.007,2.732,6.682,11.708,9.385,4.420,3.577,0.981,-0.187,0.584,-0.803,-0.135,-0.968,-0.755,-0.568,-0.877,0.152,-0.401,0.685,0.234,0.578,0.383,0.135,0.226,-0.075,0.100,-0.102,0.039,-0.084,0.011,-0.064,-0.002,-0.050,-0.009,-0.041,-0.014,-0.037,-0.018,-0.036
16,6818.556,294.282,6816.088,308.799,6812.105,303.553,3.467,5.574,7.563,13.011,6.810,3.022,0.980,-0.190,0.571,-0.814,-0.168,-0.972,-0.800,-0.532,-0.870,0.234,-0.322,0.732,0.326,0.535,0.383,0.048,0.182,-0.107,0.068,-0.101,0.021,-0.074,0.002,-0.054,-0.007,-0.041,-0.011,-0.033,-0.015,-0.029,-0.017,-0.028
17,6806.769,297.763,6811.039,303.881,6816.286,298.145,2.304,8.049,11.962,9.685,5.580,2.599,0.979,-0.195,0.553,-0.826,-0.206,-0.964,-0.837,-0.480,-0.834,0.345,-0.138,0.716,0.309,0.350,0.266,0.042,0.151,-0.054,0.078,-0.068,0.038,-0.061,0.018,-0.053,0.006,-0.046,-0.002,-0.043,-0.009,-0.043,-0.015,-0.046
18,6801.357,290.427,6809.014,293.456,6815.356,293.492,1.828,5.856,14.515,10.664,7.912,4.979,0.973,-0.221,0.434,-0.887,-0.419,-0.866,-0.917,-0.166,-0.540,0.667,0.267,0.521,0.299,0.069,0.156,-0.058,0.073,-0.071,0.032,-0.062,0.012,-0.052,0.000,-0.046,-0.008,-0.045,-0.018,-0.049,-0.043,-0.068,-0.128,-0.110
19,6807.540,303.796,6806.690,301.062,6802.422,310.492,4.555,4.920,13.691,13.328,5.630,3.775,0.973,-0.220,0.431,-0.884,-0.405,-0.842,-0.843,-0.194,-0.605,0.511,0.095,0.662,0.416,0.177,0.231,-0.101,0.080,-0.116,0.019,-0.086,-0.004,-0.062,-0.014,-0.048,-0.021,-0.042,-0.030,-0.041,-0.051,-0.050,-0.105,-0.075
20,6814.914,298.550,6801.197,306.352,6805.726,304.113,3.435,8.455,12.302,12.715,7.058,4.728,0.971,-0.231,0.388,-0.914,-0.519,-0.833,-0.961,0.001,-0.356,0.807,0.443,0.384,0.268,-0.069,0.088,-0.101,0.023,-0.071,0.001,-0.048,-0.007,-0.034,-0.011,-0.027,-0.014,-0.023,-0.018,-0.022,-0.027,-0.025,-0.042,-0.032
21,6817.337,292.377,6808.777,298.026,6811.040,297.912,2.371,7.742,6.874,13.125,9.188,3.755,0.977,-0.206,0.503,-0.857,-0.309,-0.935,-0.899,-0.344,-0.759,0.511,0.092,0.759,0.415,0.170,0.213,-0.075,0.084,-0.089,0.030,-0.068,0.008,-0.050,-0.002,-0.039,-0.007,-0.031,-0.011,-0.027,-0.015,-0.026,-0.019,-0.027
22,6803.915,305.925,6802.543,303.600,6806.494,310.064,1.286,8.424,13.750,10.421,5.962,1.340,0.978,-0.199,0.532,-0.837,-0.251,-0.948,-0.866,-0.388,-0.678,0.437,-0.036,0.528,0.181,0.254,0.173,0.087,0.131,0.012,0.096,-0.020,0.072,-0.036,0.056,-0.046,0.045,-0.056,0.039,-0.072,0.032,-0.109,0.014,-0.189
23,6816.743,304.069,6803.971,297.994,6807.680,301.278,4.165,6.744,6.077,13.689,5.276,2.140,0.981,-0.183,0.598,-0.792,-0.100,-0.969,-0.711,-0.609,-0.890,0.049,-0.559,0.658,0.215,0.747,0.471,0.134,0.235,-0.102,0.095,-0.108,0.036,-0.083,0.011,-0.062,-0.001,-0.048,-0.008,-0.040,-0.012,-0.035,-0.016,-0.033
24,6808.784,305.166,6803.646,306.260,6811.726,306.290,4.575,6.090,7.140,11.271,9.138,2.986,0.978,-0.199,0.537,-0.837,-0.245,-0.962,-0.866,-0.424,-0.798,0.367,-0.191,0.764,0.483,0.453,0.346,-0.110,0.099,-0.139,0.021,-0.089,-0.002,-0.056,-0.010,-0.038,-0.012,-0.027,-0.013,-0.021,-0.014,-0.017,-0.016,-0.016
25,6804.477,301.123,6816.557,293.375,6808.202,310.781,2.987,5.411,7.502,13.164,8.126,3.452,0.979,-0.196,0.547,-0.831,-0.223,-0.963,-0.849,-0.452,-0.803,0.353,-0.165,0.703,0.330,0.403,0.319,0.023,0.157,-0.094,0.061,-0.091,0.019,-0.069,0.001,-0.052,-0.007,-0.040,-0.012,-0.034,-0.016,-0.030,-0.020,-0.030
26,6808.222,290.169,6813.847,295.576,6812.924,299.543,3.074,8.561,11.223,12.774,4.460,4.487,0.975,-0.213,0.471,-0.873,-0.368,-0.904,-0.906,-0.245,-0.641,0.561,0.129,0.662,0.394,0.157,0.211,-0.087,0.077,-0.100,0.021,-0.074,0.000,-0.052,-0.008,-0.039,-0.013,-0.031,-0.016,-0.028,-0.022,-0.027,-0.028,-0.030
27,6812.344,291.049,6809.400,303.082,6806.198,291.720,3.748,9.882,8.414,10.709,9.715,1.177,0.976,-0.210,0.485,-0.866,-0.340,-0.916,-0.901,-0.306,-0.760,0.579,0.280,0.719,0.347,0.057,0.152,-0.064,0.066,-0.063,0.030,-0.050,0.013,-0.040,0.005,-0.033,-0.001,-0.029,-0.005,-0.027,-0.009,-0.027,-0.012,-0.028
28,6814.795,290.319,6808.319,296.596,6816.727,291.826,1.735,6.656,10.824,13.558,9.752,3.154,0.974,-0.220,0.442,-0.890,-0.437,-0.890,-0.963,-0.101,-0.399,0.683,0.228,0.407,0.236,0.081,0.141,-0.026,0.077,-0.050,0.041,-0.050,0.022,-0.046,0.010,-0.043,0.002,-0.043,-0.006,-0.046,-0.017,-0.057,-0.035,-0.076
29,6801.068,292.987,6803.300,296.539,6814.629,298.463,4.839,5.528,11.124,10.998,6.046,2.325,0.978,-0.198,0.538,-0.831,-0.224,-0.949,-0.830,-0.460,-0.842,0.327,-0.185,0.791,0.428,0.392,0.311,-0.036,0.130,-0.104,0.048,-0.086,0.015,-0.063,0.000,-0.047,-0.007,-0.037,-0.011,-0.031,-0.015,-0.028,-0.018,-0.028
30,6813.815,292.325,6804.066,300.994,6805.545,295.876,1.136,4.376,13.163,14.261,6.795,3.296,0.976,-0.207,0.493,-0.861,-0.334,-0.909,-0.857,-0.257,-0.564,0.448,-0.013,0.487,0.188,0.242,0.185,0.074,0.139,-0.005,0.098,-0.038,0.069,-0.054,0.049,-0.063,0.035,-0.075,0.022,-0.096,-0.003,-0.148,-0.086,-0.262
31,6811.470,294.070,6808.026,310.069,6814.640,303.763,1.426,4.742,8.622,11.388,7.599,4.384,0.981,-0.184,0.597,-0.796,-0.110,-0.985,-0.772,-0.614,-0.940,0.187,-0.313,0.747,0.265,0.460,0.290,0.107,0.183,-0.029,0.101,-0.061,0.054,-0.061,0.027,-0.054,0.012,-0.047,0.003,-0.041,-0.003,-0.038,-0.007,-0.037
32,6816.657,300.286,6809.582,294.352,6804.964,299.700,2.008,7.010,12.443,11.851,9.399,3.089,0.973,-0.220,0.440,-0.889,-0.431,-0.890,-0.969,-0.119,-0.424,0.709,0.254,0.422,0.250,0.069,0.141,-0.038,0.073,-0.056,0.037,-0.052,0.017,-0.046,0.006,-0.042,-0.002,-0.040,-0.009,-0.043,-0.020,-0.051,-0.036,-0.067
33,6801.965,305.474,6810.355,290.535,6814.455,307.234,1.890,6.616,6.514,7.783,7.906,3.900,0.984,-0.169,0.657,-0.748,0.033,-0.991,-0.611,-0.771,-0.958,-0.167,-0.793,0.556,-0.014,0.919,0.544,0.319,0.317,-0.078,0.130,-0.116,0.049,-0.090,0.016,-0.064,0.002,-0.046,-0.005,-0.035,-0.008,-0.027,-0.009,-0.023
34,6809.612,308.467,6801.309,292.324,6805.498,306.827,2.121,6.015,6.935,9.349,8.022,4.829,0.982,-0.180,0.616,-0.783,-0.066,-0.991,-0.726,-0.674,-0.981,0.054,-0.546,0.767,0.306,0.705,0.448,0.092,0.213,-0.107,0.080,-0.105,0.026,-0.076,0.004,-0.053,-0.004,-0.038,-0.008,-0.029,-0.010,-0.023,-0.011,-0.020
35,6812.709,306.401,6806.899,294.376,6818.908,307.190,4.208,9.758,13.271,9.890,4.640,1.153,0.976,-0.207,0.497,-0.859,-0.322,-0.931,-0.916,-0.303,-0.647,0.565,0.117,0.567,0.270,0.171,0.181,0.003,0.105,-0.042,0.061,-0.050,0.036,-0.049,0.021,-0.047,0.012,-0.047,0.004,-0.053,-0.006,-0.068,-0.022,-0.098
36,6803.502,291.707,6807.032,302.611,6815.790,301.693,1.682,6.621,12.740,11.464,5.247,2.965,0.979,-0.197,0.543,-0.832,-0.232,-0.951,-0.830,-0.427,-0.752,0.345,-0.141,0.623,0.238,0.349,0.248,0.083,0.164,-0.029,0.096,-0.060,0.055,-0.063,0.030,-0.060,0.015,-0.058,0.004,-0.058,-0.007,-0.065,-0.019,-0.079
37,6810.752,295.508,6804.058,301.544,6810.401,291.159,4.317,5.099,6.828,11.008,4.852,3.831,0.983,-0.175,0.634,-0.765,-0.017,-0.977,-0.634,-0.712,-0.929,-0.111,-0.732,0.559,-0.047,0.889,0.617,0.409,0.387,-0.160,0.109,-0.177,0.018,-0.112,-0.008,-0.068,-0.015,-0.044,-0.016,-0.030,-0.016,-0.022,-0.015,-0.018
38,6804.721,294.204,6812.496,304.805,6805.696,310.577,1.256,5.919,13.041,10.249,7.376,4.139,0.978,-0.203,0.518,-0.845,-0.271,-0.937,-0.869,-0.391,-0.767,0.460,0.024,0.678,0.311,0.234,0.217,0.007,0.121,-0.051,0.066,-0.059,0.035,-0.055,0.018,-0.050,0.007,-0.047,-0.001,-0.048,-0.010,-0.053,-0.021,-0.064
39,6810.900,302.356,6809.291,294.249,6805.722,302.840,2.158,4.782,11.665,11.963,8.442,4.098,0.976,-0.209,0.492,-0.861,-0.327,-0.926,-0.914,-0.297,-0.648,0.556,0.097,0.591,0.298,0.194,0.209,-0.011,0.112,-0.065,0.053,-0.068,0.023,-0.059,0.006,-0.049,-0.003,-0.043,-0.010,-0.041,-0.018,-0.042,-0.027,-0.047
40,6812.419,309.238,6809.146,305.508,6809.927,290.681,3.670,6.712,9.879,13.208,4.964,2.929,0.978,-0.199,0.535,-0.837,-0.240,-0.946,-0.835,-0.439,-0.821,0.351,-0.142,0.762,0.388,0.363,0.300,-0.014,0.138,-0.096,0.055,-0.086,0.018,-0.066,0.002,-0.051,-0.007,-0.041,-0.012,-0.035,-0.017,-0.033,-0.022,-0.034
41,6801.781,309.597,6808.257,303.695,6802.693,292.113,4.112,9.990,10.849,12.945,9.538,4.310,0.968,-0.244,0.328,-0.938,-0.623,-0.771,-0.965,0.195,-0.060,0.910,0.478,0.104,0.155,-0.118,0.037,-0.083,0.004,-0.051,-0.006,-0.033,-0.009,-0.024,-0.011,-0.018,-0.013,-0.016,-0.016,-0.016,-0.024,-0.017,-0.036,-0.021
42,6809.173,310.534,6806.924,298.080,6814.793,299.613,1.542,4.560,7.170,14.244,8.366,3.599,0.980,-0.190,0.572,-0.814,-0.171,-0.973,-0.812,-0.511,-0.810,0.286,-0.213,0.622,0.193,0.393,0.248,0.130,0.183,-0.003,0.116,-0.051,0.068,-0.063,0.039,-0.062,0.020,-0.059,0.008,-0.058,-0.003,-0.062,-0.012,-0.070
43,6815.274,295.148,6808.917,307.509,6813.601,306.933,4.545,4.425,13.220,12.923,7.478,2.925,0.974,-0.219,0.444,-0.879,-0.402,-0.872,-0.882,-0.174,-0.551,0.537,0.098,0.591,0.359,0.184,0.224,-0.069,0.090,-0.101,0.029,-0.081,0.004,-0.061,-0.008,-0.049,-0.015,-0.043,-0.023,-0.042,-0.038,-0.050,-0.067,-0.067
44,6810.918,291.044,6801.014,310.671,6818.005,305.974,2.758,4.245,10.971,11.823,6.278,3.598,0.980,-0.192,0.561,-0.818,-0.182,-0.957,-0.791,-0.508,-0.837,0.248,-0.272,0.683,0.256,0.469,0.329,0.105,0.203,-0.063,0.097,-0.093,0.040,-0.081,0.012,-0.065,-0.002,-0.052,-0.010,-0.045,-0.016,-0.041,-0.022,-0.040
45,6812.849,309.809,6817.507,305.220,6808.743,294.044,3.267,6.896,12.874,7.172,4.730,3.034,0.981,-0.186,0.588,-0.795,-0.109,-0.963,-0.724,-0.602,-0.897,0.093,-0.476,0.675,0.198,0.646,0.419,0.176,0.257,-0.077,0.113,-0.113,0.043,-0.094,0.012,-0.072,-0.003,-0.057,-0.011,-0.048,-0.018,-0.044,-0.024,-0.045
46,6818.730,306.738,6813.584,302.367,6809.519,290.497,1.382,5.007,8.957,10.224,5.632,4.451,0.983,-0.174,0.639,-0.763,-0.011,-0.987,-0.652,-0.720,-0.949,-0.070,-0.645,0.632,0.110,0.717,0.382,0.244,0.261,-0.012,0.139,-0.074,0.070,-0.075,0.033,-0.063,0.014,-0.052,0.003,-0.043,-0.003,-0.037,-0.006,-0.034
47,6815.731,295.123,6803.287,303.438,6804.205,304.873,4.297,9.404,9.579,7.617,9.418,4.911,0.974,-0.217,0.455,-0.881,-0.394,-0.901,-0.937,-0.225,-0.707,0.619,0.296,0.930,0.527,-0.146,0.093,-0.174,0.006,-0.089,-0.010,-0.048,-0.013,-0.029,-0.013,-0.019,-0.012,-0.014,-0.012,-0.010,-0.012,-0.009,-0.014,-0.008
48,6809.345,302.970,6806.031,294.975,6810.857,303.377,1.496,4.551,11.066,9.435,5.623,2.542,0.984,-0.171,0.649,-0.751,0.017,-0.983,-0.623,-0.735,-0.914,-0.094,-0.608,0.530,-0.027,0.611,0.251,0.327,0.252,0.096,0.180,-0.013,0.116,-0.052,0.072,-0.062,0.044,-0.062,0.026,-0.059,0.013,-0.057,0.006,-0.057
49,6802.599,307.560,6812.516,295.412,6801.129,292.722,4.002,9.238,7.812,14.348,8.392,1.723,0.974,-0.216,0.456,-0.883,-0.401,-0.891,-0.916,-0.202,-0.624,0.636,0.296,0.615,0.330,0.039,0.144,-0.073,0.060,-0.069,0.025,-0.054,0.009,-0.043,0.001,-0.036,-0.005,-0.032,-0.010,-0.031,-0.016,-0.034,-0.026,-0.041
50,6818.213,295.545,6813.297,297.818,6818.478,307.902,2.349,7.082,11.090,11.471,6.105,3.558,0.978,-0.201,0.527,-0.843,-0.263,-0.951,-0.877,-0.405,-0.790,0.446,-0.011,0.727,0.363,0.262,0.245,-0.020,0.118,-0.077,0.052,-0.072,0.021,-0.058,0.005,-0.046,-0.003,-0.038,-0.008,-0.034,-0.013,-0.033,-0.018,-0.034
51,6807.910,298.362,6803.145,305.638,6815.787,295.632,2.006,9.175,11.038,7.842,6.740,2.564,0.980,-0.191,0.569,-0.814,-0.166,-0.967,-0.794,-0.541,-0.905,0.241,-0.257,0.800,0.364,0.415,0.295,0.030,0.152,-0.065,0.074,-0.070,0.035,-0.060,0.016,-0.049,0.005,-0.041,-0.002,-0.036,-0.007,-0.034,-0.010,-0.034
52,6801.701,295.872,6809.062,299.574,6813.931,297.370,1.339,4.437,9.517,9.703,9.858,2.209,0.982,-0.182,0.607,-0.783,-0.074,-0.984,-0.749,-0.648,-0.922,0.165,-0.317,0.649,0.150,0.435,0.227,0.173,0.182,0.036,0.127,-0.022,0.084,-0.043,0.055,-0.050,0.036,-0.051,0.023,-0.051,0.013,-0.052,0.006,-0.054
53,6803.264,303.039,6804.918,301.849,6802.096,304.723,2.771,8.398,14.570,14.607,7.138,3.651,0.968,-0.242,0.330,-0.935,-0.614,-0.752,-0.875,0.197,-0.107,0.676,0.307,0.244,0.205,-0.018,0.096,-0.068,0.041,-0.064,0.015,-0.054,0.002,-0.047,-0.008,-0.046,-0.020,-0.053,-0.050,-0.081,-0.537,-0.134,0.078,0.170
54,6811.387,294.845,6815.975,309.689,6806.188,307.173,3.209,7.942,8.447,12.644,5.991,4.865,0.977,-0.205,0.511,-0.851,-0.284,-0.943,-0.897,-0.395,-0.841,0.485,0.047,0.888,0.536,0.177,0.228,-0.135,0.064,-0.114,0.012,-0.073,-0.005,-0.047,-0.010,-0.032,-0.012,-0.024,-0.013,-0.019,-0.015,-0.016,-0.017,-0.016
55,6808.513,293.146,6811.589,308.633,6806.172,297.995,1.072,9.712,8.042,10.457,6.164,1.158,0.982,-0.177,0.624,-0.773,-0.043,-0.982,-0.693,-0.692,-0.984,0.051,-0.405,0.733,0.194,0.462,0.234,0.153,0.167,0.029,0.112,-0.016,0.076,-0.031,0.052,-0.036,0.037,-0.038,0.027,-0.039,0.019,-0.040,0.015,-0.042
56,6812.307,305.928,6810.243,305.001,6810.186,300.904,2.332,8.916,11.475,14.671,9.360,4.425,0.968,-0.242,0.338,-0.935,-0.613,-0.778,-0.947,0.207,-0.032,0.765,0.347,0.174,0.177,-0.048,0.073,-0.067,0.028,-0.055,0.009,-0.043,-0.001,-0.035,-0.007,-0.032,-0.013,-0.032,-0.022,-0.037,-0.047,-0.056,-0.129,-0.101
57,6809.311,301.982,6805.602,304.783,6801.095,291.183,1.478,5.942,14.222,12.656,7.230,1.982,0.976,-0.210,0.486,-0.864,-0.349,-0.915,-0.895,-0.228,-0.524,0.508,0.041,0.465,0.194,0.206,0.173,0.056,0.126,-0.011,0.089,-0.039,0.063,-0.051,0.045,-0.060,0.033,-0.072,0.021,-0.095,-0.006,-0.161,-0.171,-0.338
58,6806.102,300.199,6815.326,291.787,6816.140,305.754,2.549,8.751,13.344,9.276,6.175,2.584,0.977,-0.206,0.501,-0.856,-0.309,-0.930,-0.894,-0.332,-0.706,0.515,0.074,0.649,0.324,0.203,0.212,-0.017,0.110,-0.065,0.054,-0.065,0.025,-0.056,0.010,-0.049,0.000,-0.045,-0.007,-0.045,-0.017,-0.052,-0.031,-0.067
59,6810.586,309.619,6810.191,292.793,6803.840,291.665,2.621,4.768,10.753,11.105,5.379,1.776,0.982,-0.179,0.618,-0.778,-0.061,-0.981,-0.701,-0.645,-0.877,0.054,-0.468,0.575,0.064,0.552,0.276,0.257,0.242,0.043,0.157,-0.043,0.092,-0.066,0.052,-0.066,0.029,-0.061,0.014,-0.057,0.004,-0.055,-0.003,-0.055
60,6817.604,299.023,6816.724,291.978,6817.151,292.298,1.470,8.488,13.088,11.842,9.712,1.531,0.973,-0.222,0.431,-0.891,-0.445,-0.879,-0.976,-0.064,-0.298,0.679,0.200,0.329,0.186,0.083,0.123,-0.001,0.079,-0.027,0.053,-0.036,0.036,-0.040,0.026,-0.044,0.018,-0.050,0.010,-0.064,-0.004,-0.095,-0.037,-0.157
61,6812.660,297.241,6805.043,300.177,6801.238,304.978,2.655,5.128,14.853,12.759,7.529,4.881,0.971,-0.229,0.392,-0.904,-0.485,-0.817,-0.896,-0.049,-0.404,0.663,0.265,0.453,0.294,0.054,0.154,-0.073,0.065,-0.083,0.023,-0.069,0.002,-0.057,-0.009,-0.050,-0.019,-0.049,-0.037,-0.058,-0.104,-0.094,-0.431,0.375
62,6812.773,301.931,6812.627,303.940,6817.542,310.628,2.478,4.027,6.290,7.844,9.847,1.323,0.986,-0.158,0.697,-0.703,0.147,-0.972,-0.476,-0.857,-0.885,-0.332,-0.790,0.302,-0.344,0.620,0.096,0.563,0.318,0.290,0.294,0.043,0.187,-0.065,0.103,-0.087,0.054,-0.080,0.026,-0.069,0.010,-0.059,0.002,-0.053
63,6806.294,304.546,6801.352,295.340,6816.082,301.532,2.317,6.895,10.175,11.873,4.180,1.789,0.982,-0.181,0.610,-0.786,-0.084,-0.984,-0.733,-0.623,-0.883,0.117,-0.391,0.618,0.127,0.495,0.260,0.200,0.208,0.030,0.137,-0.036,0.084,-0.056,0.051,-0.058,0.030,-0.056,0.017,-0.054,0.007,-0.054,0.001,-0.056
64,6803.854,292.401,6811.552,296.497,6810.424,290.652,1.012,9.596,12.273,13.750,9.230,2.036,0.972,-0.228,0.401,-0.908,-0.508,-0.848,-0.966,0.061,-0.165,0.655,0.205,0.261,0.165,0.059,0.107,-0.006,0.070,-0.027,0.047,-0.034,0.034,-0.038,0.025,-0.043,0.018,-0.051,0.011,-0.068,-0.006,-0.112,-0.061,-0.207
65,6816.939,298.965,6804.681,300.662,6808.596,292.074,2.921,4.345,10.556,11.592,9.006,4.924,0.976,-0.209,0.490,-0.861,-0.325,-0.926,-0.921,-0.310,-0.675,0.570,0.106,0.630,0.340,0.199,0.229,-0.040,0.104,-0.091,0.037,-0.079,0.007,-0.059,-0.005,-0.044,-0.011,-0.035,-0.016,-0.029,-0.020,-0.027,-0.024,-0.027
66,6807.046,302.636,6802.151,309.159,6805.014,299.781,2.926,4.059,11.291,11.160,9.902,1.825,0.978,-0.201,0.530,-0.833,-0.245,-0.958,-0.885,-0.387,-0.680,0.423,-0.084,0.560,0.211,0.319,0.239,0.088,0.166,-0.029,0.096,-0.065,0.051,-0.068,0.025,-0.062,0.009,-0.057,-0.002,-0.055,-0.012,-0.057,-0.021,-0.063
67,6806.742,307.127,6810.912,299.063,6802.158,308.439,1.855,6.501,8.067,10.141,5.133,4.565,0.983,-0.175,0.633,-0.767,-0.022,-0.989,-0.671,-0.716,-0.967,-0.049,-0.661,0.668,0.159,0.797,0.477,0.204,0.266,-0.082,0.112,-0.108,0.042,-0.085,0.013,-0.062,0.000,-0.045,-0.006,-0.035,-0.009,-0.028,-0.011,-0.024
68,6815.149,300.611,6815.207,296.985,6801.534,290.867,4.592,5.041,12.139,11.049,9.094,2.564,0.974,-0.215,0.465,-0.869,-0.367,-0.910,-0.930,-0.229,-0.608,0.584,0.140,0.642,0.392,0.146,0.203,-0.090,0.073,-0.097,0.021,-0.071,0.001,-0.051,-0.007,-0.039,-0.012,-0.032,-0.016,-0.029,-0.022,-0.029,-0.029,-0.032
